quiz_title,description,difficulty,is_published,question_text,question_explanation,choice_text,is_correct,choice_explanation
"Quiz Diagnostic Mesurage Loi Carrez","Quiz sur le mesurage Loi Carrez",apprenti,true,"Quelle est la hauteur minimale sous plafond pour la Loi Carrez ?","La Loi Carrez impose une hauteur minimale","1,80 m",true,"Exact ! La hauteur minimale sous plafond est de 1,80 m"
"Quiz Diagnostic Mesurage Loi Carrez","Quiz sur le mesurage Loi Carrez",apprenti,true,"Quelle est la hauteur minimale sous plafond pour la Loi Carrez ?","La Loi Carrez impose une hauteur minimale","1,50 m",false,"Non, c'est trop bas, la hauteur est de 1,80 m"
"Quiz Diagnostic Mesurage Loi Carrez","Quiz sur le mesurage Loi Carrez",apprenti,true,"Quelle est la hauteur minimale sous plafond pour la Loi Carrez ?","La Loi Carrez impose une hauteur minimale","2,00 m",false,"Non, c'est trop haut, la hauteur est de 1,80 m"
"Quiz Diagnostic Mesurage Loi Carrez","Quiz sur le mesurage Loi Carrez",apprenti,true,"Quelle est la hauteur minimale sous plafond pour la Loi Carrez ?","La Loi Carrez impose une hauteur minimale","1,60 m",false,"Non, c'est insuffisant, la hauteur est de 1,80 m"
"Quiz Diagnostic Mesurage Loi Carrez","Quiz sur le mesurage Loi Carrez",apprenti,true,"Quels biens sont concernés par la Loi Carrez ?","La Loi Carrez s'applique à certains types de biens","Tous les biens",false,"Non, seulement les copropriétés"
"Quiz Diagnostic Mesurage Loi Carrez","Quiz sur le mesurage Loi Carrez",apprenti,true,"Quels biens sont concernés par la Loi Carrez ?","La Loi Carrez s'applique à certains types de biens","Lots de copropriété de plus de 8 m²",true,"Exact ! Obligatoire pour les lots en copropriété > 8 m²"
"Quiz Diagnostic Mesurage Loi Carrez","Quiz sur le mesurage Loi Carrez",apprenti,true,"Quels biens sont concernés par la Loi Carrez ?","La Loi Carrez s'applique à certains types de biens","Seulement les appartements",false,"Non, tous les lots de copropriété > 8 m²"
"Quiz Diagnostic Mesurage Loi Carrez","Quiz sur le mesurage Loi Carrez",apprenti,true,"Quels biens sont concernés par la Loi Carrez ?","La Loi Carrez s'applique à certains types de biens","Maisons individuelles",false,"Non, les maisons individuelles ne sont pas en copropriété"
"Quiz Diagnostic Mesurage Loi Carrez","Quiz sur le mesurage Loi Carrez",apprenti,true,"Que se passe-t-il si l'erreur de surface dépasse 5% ?","La loi prévoit des sanctions en cas d'erreur","Rien",false,"Non, il y a des conséquences juridiques"
"Quiz Diagnostic Mesurage Loi Carrez","Quiz sur le mesurage Loi Carrez",apprenti,true,"Que se passe-t-il si l'erreur de surface dépasse 5% ?","La loi prévoit des sanctions en cas d'erreur","L'acheteur peut demander une réduction de prix",true,"Exact ! Si erreur > 5%, l'acheteur peut agir en diminution du prix dans l'année"
"Quiz Diagnostic Mesurage Loi Carrez","Quiz sur le mesurage Loi Carrez",apprenti,true,"Que se passe-t-il si l'erreur de surface dépasse 5% ?","La loi prévoit des sanctions en cas d'erreur","La vente est annulée",false,"Non, ce n'est pas une nullité mais une diminution du prix possible"
"Quiz Diagnostic Mesurage Loi Carrez","Quiz sur le mesurage Loi Carrez",apprenti,true,"Que se passe-t-il si l'erreur de surface dépasse 5% ?","La loi prévoit des sanctions en cas d'erreur","Le diagnostiqueur doit payer une amende",false,"Non, c'est l'acheteur qui peut demander une réduction"
"Quiz Diagnostic Gaz Avancé","Quiz approfondi sur le diagnostic gaz",expert,true,"Combien de points de contrôle sont vérifiés lors du diagnostic gaz ?","Le diagnostic gaz est très complet","Plus de 70 points",true,"Exact ! Le diagnostic vérifie plus de 70 points de contrôle"
"Quiz Diagnostic Gaz Avancé","Quiz approfondi sur le diagnostic gaz",expert,true,"Combien de points de contrôle sont vérifiés lors du diagnostic gaz ?","Le diagnostic gaz est très complet","20 points",false,"Non, c'est beaucoup plus complet"
