quiz_title,description,difficulty,is_published,question_text,question_explanation,choice_text,is_correct,choice_explanation
"Quiz Diagnostic Amiante","Quiz sur les diagnostics amiante obligatoires",debutant,false,"Qu'est-ce qu'un diagnostic amiante ?","Question fondamentale sur le diagnostic amiante","Un rapport technique obligatoire pour les biens construits avant 1997",true,"C'est la définition correcte du diagnostic amiante"
"Quiz Diagnostic Amiante","Quiz sur les diagnostics amiante obligatoires",debutant,false,"Qu'est-ce qu'un diagnostic amiante ?","Question fondamentale sur le diagnostic amiante","Un document optionnel pour tous les biens",false,"C'est incorrect, c'est obligatoire pour les biens d'avant 1997"
"Quiz Diagnostic Amiante","Quiz sur les diagnostics amiante obligatoires",debutant,false,"Qu'est-ce qu'un diagnostic amiante ?","Question fondamentale sur le diagnostic amiante","Un rapport sur la qualité de l'air",false,"C'est incorrect, c'est spécifiquement pour l'amiante"
"Quiz Diagnostic Amiante","Quiz sur les diagnostics amiante obligatoires",debutant,false,"Quel est le délai de validité du diagnostic amiante ?","Question sur la réglementation","3 ans",false,"C'est incorrect, il n'y a pas de limite de temps"
"Quiz Diagnostic Amiante","Quiz sur les diagnostics amiante obligatoires",debutant,false,"Quel est le délai de validité du diagnostic amiante ?","Question sur la réglementation","Illimité",true,"C'est correct, pas de limite de temps"
"Quiz Diagnostic Amiante","Quiz sur les diagnostics amiante obligatoires",debutant,false,"Quel est le délai de validité du diagnostic amiante ?","Question sur la réglementation","5 ans",false,"C'est incorrect, il n'y a pas de limite"
"Quiz Diagnostic Électrique","Quiz sur les diagnostics électriques",apprenti,false,"Quel est le délai de validité du diagnostic électrique ?","Question sur la réglementation électrique","3 ans",true,"C'est correct, le diagnostic électrique est valable 3 ans"
"Quiz Diagnostic Électrique","Quiz sur les diagnostics électriques",apprenti,false,"Quel est le délai de validité du diagnostic électrique ?","Question sur la réglementation électrique","5 ans",false,"C'est incorrect, c'est 3 ans"
"Quiz Diagnostic Électrique","Quiz sur les diagnostics électriques",apprenti,false,"Quel est le délai de validité du diagnostic électrique ?","Question sur la réglementation électrique","Illimité",false,"C'est incorrect, il y a une limite de 3 ans"
"Quiz Diagnostic Électrique","Quiz sur les diagnostics électriques",apprenti,false,"Quand est obligatoire le diagnostic électrique ?","Question sur l'obligation","Pour tous les biens",false,"C'est incorrect, seulement pour certains biens"
"Quiz Diagnostic Électrique","Quiz sur les diagnostics électriques",apprenti,false,"Quand est obligatoire le diagnostic électrique ?","Question sur l'obligation","Pour les biens de plus de 15 ans",true,"C'est correct, pour les biens de plus de 15 ans"
"Quiz Diagnostic Électrique","Quiz sur les diagnostics électriques",apprenti,false,"Quand est obligatoire le diagnostic électrique ?","Question sur l'obligation","Pour les biens neufs",false,"C'est incorrect, c'est pour les anciens biens"
"Quiz Diagnostic Plomb","Quiz sur les diagnostics plomb",expert,false,"Quel est le seuil de concentration en plomb pour déclencher des travaux ?","Question technique sur le plomb","1 mg/cm²",true,"C'est le seuil réglementaire correct"
"Quiz Diagnostic Plomb","Quiz sur les diagnostics plomb",expert,false,"Quel est le seuil de concentration en plomb pour déclencher des travaux ?","Question technique sur le plomb","0,5 mg/cm²",false,"C'est incorrect, le seuil est de 1 mg/cm²"
"Quiz Diagnostic Plomb","Quiz sur les diagnostics plomb",expert,false,"Quel est le seuil de concentration en plomb pour déclencher des travaux ?","Question technique sur le plomb","2 mg/cm²",false,"C'est incorrect, le seuil est de 1 mg/cm²"
"Quiz Diagnostic Plomb","Quiz sur les diagnostics plomb",expert,false,"Quel est le délai de validité du diagnostic plomb ?","Question sur la réglementation plomb","Illimité",true,"C'est correct, pas de limite de temps"
"Quiz Diagnostic Plomb","Quiz sur les diagnostics plomb",expert,false,"Quel est le délai de validité du diagnostic plomb ?","Question sur la réglementation plomb","3 ans",false,"C'est incorrect, il n'y a pas de limite"
"Quiz Diagnostic Plomb","Quiz sur les diagnostics plomb",expert,false,"Quel est le délai de validité du diagnostic plomb ?","Question sur la réglementation plomb","5 ans",false,"C'est incorrect, il n'y a pas de limite"
"Quiz Diagnostic Termites","Quiz sur les diagnostics termites",debutant,true,"Dans quelles régions le diagnostic termites est-il obligatoire ?","Question géographique","Toute la France",false,"C'est incorrect, seulement certaines régions"
"Quiz Diagnostic Termites","Quiz sur les diagnostics termites",debutant,true,"Dans quelles régions le diagnostic termites est-il obligatoire ?","Question géographique","Seulement dans le Sud",false,"C'est incorrect, pas seulement le Sud"
"Quiz Diagnostic Termites","Quiz sur les diagnostics termites",debutant,true,"Dans quelles régions le diagnostic termites est-il obligatoire ?","Question géographique","Dans les zones délimitées par arrêté préfectoral",true,"C'est correct, c'est défini par arrêté préfectoral"
"Quiz Diagnostic Termites","Quiz sur les diagnostics termites",debutant,true,"Quel est le délai de validité du diagnostic termites ?","Question sur la réglementation","6 mois",true,"C'est correct, le diagnostic termites est valable 6 mois"
"Quiz Diagnostic Termites","Quiz sur les diagnostics termites",debutant,true,"Quel est le délai de validité du diagnostic termites ?","Question sur la réglementation","1 an",false,"C'est incorrect, c'est 6 mois"
"Quiz Diagnostic Termites","Quiz sur les diagnostics termites",debutant,true,"Quel est le délai de validité du diagnostic termites ?","Question sur la réglementation","3 ans",false,"C'est incorrect, c'est 6 mois"
